fecha,pozo_id,campo,produccion_bpd,presion_psi,temperatura_f,agua_porcentaje,gas_porcentaje,estado_pozo
2024-01-01 00:00:00,PN001,Campo Norte,1249.7,1788.9,150.2,22.6,17.1,Activo
2024-01-01 06:00:00,PS002,Campo Sur,1076.6,1826.3,146.1,12.7,20.2,Activo
2024-01-01 12:00:00,PC001,Campo Central,1203.7,1712.7,151.9,5.4,11.1,Activo
2024-01-01 18:00:00,PN002,Campo Norte,1143.8,1719.0,147.5,10.5,12.4,Activo
2024-01-02 00:00:00,PC002,Campo Central,1396.6,1731.9,150.5,7.9,15.8,Activo
2024-01-02 06:00:00,PO002,Campo Oeste,961.1,1507.9,138.0,12.0,16.8,Activo
2024-01-02 12:00:00,PN002,Campo Norte,1139.8,1948.2,144.9,9.7,21.3,Activo
2024-01-03 00:00:00,PN004,Campo Norte,1273.8,1813.7,144.1,13.5,12.1,Activo
2024-01-03 06:00:00,PC003,Campo Central,1178.0,1713.1,158.5,16.7,10.9,Activo
2024-01-03 12:00:00,PC001,Campo Central,1282.4,1719.2,144.6,18.1,22.1,Activo
2024-01-03 18:00:00,PC003,Campo Central,1343.1,1682.9,147.5,16.7,21.9,Activo
2024-01-04 00:00:00,PE005,Campo Este,1302.1,1885.1,146.1,9.0,21.3,Activo
2024-01-04 06:00:00,PS003,Campo Sur,1235.6,1694.2,148.0,16.8,15.4,Activo
2024-01-04 12:00:00,PN004,Campo Norte,1236.1,1923.0,144.7,22.8,7.5,Activo
2024-01-04 18:00:00,PE002,Campo Este,1432.2,1907.0,152.6,15.5,10.0,Activo
2024-01-05 00:00:00,PE001,Campo Este,1328.0,1928.6,166.8,12.4,14.8,Activo
2024-01-05 06:00:00,PS002,Campo Sur,1049.8,1773.2,142.6,12.4,20.1,Activo
2024-01-05 12:00:00,PC002,Campo Central,1259.7,1827.5,144.4,13.4,16.4,Activo
2024-01-05 18:00:00,PN002,Campo Norte,1053.6,1823.7,147.1,15.0,17.1,Activo
2024-01-06 00:00:00,PO003,Campo Oeste,808.5,1566.3,132.3,11.0,17.4,Activo
2024-01-06 06:00:00,PC003,Campo Central,1290.4,1900.9,151.4,16.3,17.7,Activo
2024-01-06 12:00:00,PO002,Campo Oeste,758.1,1597.9,135.5,27.3,17.2,Activo
2024-01-06 18:00:00,PC005,Campo Central,1280.2,1747.2,140.7,20.7,21.0,Activo
2024-01-07 00:00:00,PC004,Campo Central,1329.1,1677.2,161.2,8.0,20.3,Activo
2024-01-07 06:00:00,PS005,Campo Sur,1319.0,1620.8,135.5,15.5,16.0,Activo
2024-01-07 12:00:00,PN002,Campo Norte,1044.9,1805.5,136.5,17.4,14.3,Activo
2024-01-07 18:00:00,PO005,Campo Oeste,1105.0,1537.3,132.4,19.1,13.1,Activo
2024-01-08 00:00:00,PO005,Campo Oeste,972.7,1704.6,122.1,15.9,19.0,Activo
2024-01-08 06:00:00,PN001,Campo Norte,1278.2,1701.0,134.4,17.6,19.2,Activo
2024-01-08 12:00:00,PE003,Campo Este,1375.0,1927.7,149.6,16.2,19.2,Activo
2024-01-08 18:00:00,PO001,Campo Oeste,878.6,1749.3,138.8,9.0,20.6,Activo
2024-01-09 00:00:00,PE005,Campo Este,1252.5,1963.0,164.3,10.9,21.9,Activo
2024-01-09 12:00:00,PS002,Campo Sur,1011.0,1634.7,139.4,16.7,19.1,Activo
2024-01-10 00:00:00,PN003,Campo Norte,1262.6,1731.4,136.4,17.4,17.1,Activo
2024-01-10 06:00:00,PE002,Campo Este,1421.4,1937.9,154.4,10.8,11.9,Activo
2024-01-10 12:00:00,PN001,Campo Norte,1155.3,1868.5,146.7,8.8,18.7,Activo
2024-01-10 18:00:00,PC002,Campo Central,1288.5,1679.3,151.2,15.3,13.4,Activo
2024-01-11 00:00:00,PC002,Campo Central,1285.8,1794.9,158.7,20.3,12.5,Activo
2024-01-11 06:00:00,PO002,Campo Oeste,856.2,1641.2,139.1,17.6,33.4,Activo
2024-01-11 18:00:00,PE004,Campo Este,1425.9,1838.2,153.1,12.6,18.3,Activo
