fecha,pozo_id,campo,produccion_bpd,presion_psi,temperatura_f,agua_porcentaje,gas_porcentaje,estado_pozo
2024-01-01 00:00:00,PZ101,Campo Sur,1100.0,1700.0,140.0,12,20,Activo
2024-01-01 06:00:00,PZ101,Campo Sur,1120.0,1720.0,142.0,13,19,Activo
2024-01-01 12:00:00,PZ101,Campo Sur,1150.0,1750.0,145.0,14,18,Activo
2024-01-01 18:00:00,PZ101,Campo Sur,1130.0,1730.0,143.0,13,20,Activo
2024-01-02 00:00:00,PZ101,Campo Sur,1160.0,1760.0,146.0,15,17,Activo
2024-01-02 06:00:00,PZ101,Campo Sur,1180.0,1780.0,148.0,16,16,Activo
2024-01-02 12:00:00,PZ101,Campo Sur,1200.0,1800.0,150.0,17,15,Activo
2024-01-03 00:00:00,PZ101,Campo Sur,1190.0,1790.0,149.0,16,17,Activo
2024-01-03 06:00:00,PZ101,Campo Sur,1220.0,1820.0,152.0,18,15,Activo
2024-01-03 12:00:00,PZ101,Campo Sur,1240.0,1840.0,154.0,19,14,Activo
2024-01-03 18:00:00,PZ101,Campo Sur,1210.0,1810.0,151.0,17,16,Activo
2024-01-04 00:00:00,PZ101,Campo Sur,1230.0,1830.0,153.0,18,15,Activo
2024-01-04 06:00:00,PZ101,Campo Sur,1260.0,1860.0,156.0,20,13,Activo
2024-01-04 12:00:00,PZ101,Campo Sur,1280.0,1880.0,158.0,21,12,Activo
2024-01-04 18:00:00,PZ101,Campo Sur,1250.0,1850.0,155.0,19,14,Activo 
